ImageID,Source,LabelName,Confidence,XMin,XMax,YMin,YMax,IsOccluded,IsTruncated,IsGroupOf,IsDepiction,IsInside
2007_000027.jpg,,person,,"0,3580246914","0,7181069959","0,202","0,702",,,,,
2007_000032.jpg,,aeroplane,,"0,208","0,75","0,2775800712","0,6512455516",,,,,
2007_000032.jpg,,aeroplane,,"0,266","0,394","0,3131672598","0,4377224199",,,,,
2007_000032.jpg,,person,,"0,39","0,426","0,640569395","0,8149466192",,,,,
2007_000032.jpg,,person,,"0,052","0,088","0,6725978648","0,846975089",,,,,
2007_000033.jpg,,aeroplane,,"0,018","0,998","0,2923497268","0,718579235",,,,,
2007_000033.jpg,,aeroplane,,"0,842","0,964","0,5464480874","0,6174863388",,,,,
2007_000033.jpg,,aeroplane,,"0,65","0,822","0,5136612022","0,6092896175",,,,,
2007_000039.jpg,,tvmonitor,,"0,312","0,688","0,2373333333","0,744",,,,,
2007_000042.jpg,,train,,"0,526",1,"0,0955223881","0,8805970149",,,,,
2007_000042.jpg,,train,,"0,002","0,47","0,1074626866","0,8925373134",,,,,
2007_000061.jpg,,boat,,"0,548","0,874","0,033033033","0,8378378378",,,,,
2007_000061.jpg,,boat,,"0,368","0,562","0,6426426426","0,7567567568",,,,,
2007_000063.jpg,,dog,,"0,246","0,758","0,3066666667","0,7333333333",,,,,
2007_000063.jpg,,chair,,"0,15","0,856","0,0026666667",1,,,,,
2007_000068.jpg,,bird,,"0,054","0,532","0,12",1,,,,,
2007_000121.jpg,,tvmonitor,,"0,502","0,95","0,0746666667","0,712",,,,,
2007_000121.jpg,,tvmonitor,,"0,044","0,502","0,0746666667","0,728",,,,,
2007_000123.jpg,,train,,"0,002","0,716","0,0693333333","0,9066666667",,,,,
2007_000129.jpg,,bicycle,,"0,2095808383","0,7634730539","0,404",1,,,,,
2007_000129.jpg,,bicycle,,"0,751497006",1,"0,484",1,,,,,
2007_000129.jpg,,bicycle,,"0,002994012","0,2005988024","0,288","0,872",,,,,
2007_000129.jpg,,person,,"0,002994012","0,1976047904","0,002","0,726",,,,,
2007_000129.jpg,,person,,"0,2215568862","0,8143712575","0,002","0,924",,,,,
2007_000129.jpg,,person,,"0,754491018",1,"0,038","0,974",,,,,
2007_000170.jpg,,bottle,,"0,174","0,218","0,2666666667","0,44",,,,,
2007_000170.jpg,,bottle,,"0,082","0,146","0,304","0,4826666667",,,,,
2007_000170.jpg,,bottle,,"0,648","0,704","0,3946666667","0,5493333333",,,,,
2007_000170.jpg,,bottle,,"0,852","0,886","0,4186666667","0,52",,,,,
2007_000170.jpg,,person,,"0,006","0,086","0,2426666667","0,5493333333",,,,,
2007_000170.jpg,,person,,"0,008","0,922","0,0746666667","0,992",,,,,
2007_000175.jpg,,sheep,,"0,05","0,838","0,1024096386","0,8162650602",,,,,
2007_000187.jpg,,tvmonitor,,"0,002","0,48","0,2533333333","0,896",,,,,
2007_000241.jpg,,boat,,"0,712",1,"0,488","0,7466666667",,,,,
2007_000241.jpg,,boat,,"0,12","0,284","0,2906666667","0,568",,,,,
2007_000241.jpg,,boat,,"0,492","0,696","0,3573333333","0,5786666667",,,,,
2007_000243.jpg,,aeroplane,,"0,362","0,548","0,3813813814","0,5795795796",,,,,
2007_000250.jpg,,diningtable,,"0,002","0,948","0,4533333333",1,,,,,
2007_000250.jpg,,bottle,,"0,194","0,3","0,3306666667","0,792",,,,,
2007_000272.jpg,,person,,"0,0750750751","0,9129129129","0,142",1,,,,,
2007_000323.jpg,,person,,"0,554",1,"0,008",1,,,,,
2007_000323.jpg,,person,,"0,024","0,61","0,008",1,,,,,
2007_000332.jpg,,horse,,"0,108","0,57","0,1501501502","0,7867867868",,,,,
2007_000333.jpg,,train,,"0,002","0,734","0,1171171171","0,8108108108",,,,,
2007_000346.jpg,,bottle,,"0,248","0,46","0,2853333333","0,9146666667",,,,,
2007_000346.jpg,,person,,"0,274","0,994","0,208",1,,,,,
2007_000346.jpg,,person,,"0,178","0,258","0,5386666667","0,6586666667",,,,,
2007_000346.jpg,,person,,"0,144","0,222","0,5573333333","0,6906666667",,,,,
2007_000363.jpg,,bird,,"0,118","0,44","0,045045045","0,7177177177",,,,,
2007_000363.jpg,,bird,,"0,322",1,"0,3663663664",1,,,,,
2007_000364.jpg,,motorbike,,"0,108","0,908","0,0666666667","0,84",,,,,
2007_000364.jpg,,motorbike,,"0,636","0,978","0,0986666667","0,4293333333",,,,,
2007_000364.jpg,,person,,"0,738","0,916","0,0026666667","0,3466666667",,,,,
2007_000392.jpg,,horse,,"0,2","0,71","0,2891566265","0,9759036145",,,,,
2007_000392.jpg,,person,,"0,396","0,572","0,1746987952","0,593373494",,,,,
2007_000423.jpg,,person,,"0,102","0,244","0,2133333333","0,7093333333",,,,,
2007_000423.jpg,,person,,"0,734","0,922","0,2453333333","0,84",,,,,
2007_000452.jpg,,sofa,,"0,1","0,59","0,3226666667","0,9013333333",,,,,
2007_000452.jpg,,chair,,"0,948",1,"0,3733333333","0,7573333333",,,,,
2007_000464.jpg,,cow,,"0,1893333333","0,576","0,504","0,628",,,,,
2007_000464.jpg,,cow,,"0,1546666667","0,6426666667","0,404","0,59",,,,,
2007_000480.jpg,,person,,"0,586","0,838","0,432",1,,,,,
2007_000480.jpg,,person,,"0,228","0,456","0,44","0,9946666667",,,,,
2007_000480.jpg,,person,,"0,01","0,232","0,4586666667","0,9946666667",,,,,
2007_000480.jpg,,aeroplane,,"0,004","0,972","0,1813333333","0,8666666667",,,,,
2007_000491.jpg,,cow,,"0,004","0,918","0,005988024",1,,,,,
2007_000504.jpg,,cow,,"0,682",1,"0,2475728155","0,9854368932",,,,,
2007_000504.jpg,,person,,"0,072","0,158","0,0825242718","0,2985436893",,,,,
2007_000504.jpg,,person,,"0,004","0,072","0,1067961165","0,2912621359",,,,,
2007_000504.jpg,,person,,"0,058","0,082","0,1019417476","0,1553398058",,,,,
2007_000515.jpg,,bicycle,,"0,002","0,08","0,5306666667","0,7813333333",,,,,
2007_000515.jpg,,person,,"0,002","0,058","0,2266666667","0,744",,,,,
2007_000515.jpg,,car,,"0,128","0,302","0,4373333333","0,56",,,,,
2007_000515.jpg,,car,,"0,294","0,372","0,4453333333","0,5333333333",,,,,
2007_000528.jpg,,cat,,"0,248","0,638","0,1813333333","0,8266666667",,,,,
2007_000529.jpg,,boat,,"0,58",1,"0,3813333333","0,6666666667",,,,,
2007_000529.jpg,,car,,"0,844","0,922","0,632","0,68",,,,,
2007_000559.jpg,,bottle,,"0,072","0,158","0,6756756757","0,9567567568",,,,,
2007_000559.jpg,,tvmonitor,,"0,32","0,742","0,0702702703","0,6513513514",,,,,
2007_000572.jpg,,bicycle,,"0,002","0,47","0,5377643505",1,,,,,
2007_000572.jpg,,bicycle,,"0,016","0,452","0,4048338369","0,8972809668",,,,,
2007_000584.jpg,,bicycle,,"0,062","0,738","0,1973333333","0,9226666667",,,,,
2007_000584.jpg,,sofa,,"0,688",1,"0,552","0,9973333333",,,,,
2007_000629.jpg,,train,,"0,068",1,"0,3652173913","0,8",,,,,
2007_000629.jpg,,person,,"0,174","0,214","0,4347826087","0,5391304348",,,,,
2007_000636.jpg,,train,,"0,158","0,784","0,2865671642","0,8955223881",,,,,
2007_000645.jpg,,bird,,"0,27",1,"0,1226666667","0,9973333333",,,,,
2007_000645.jpg,,bird,,"0,248","0,73","0,3893333333",1,,,,,
2007_000648.jpg,,person,,"0,788","0,808","0,5975975976","0,6696696697",,,,,
2007_000648.jpg,,person,,"0,848","0,872","0,5975975976","0,6606606607",,,,,
2007_000648.jpg,,person,,"0,868","0,888","0,5885885886","0,6606606607",,,,,
2007_000648.jpg,,person,,"0,886","0,904","0,5855855856","0,6606606607",,,,,
2007_000648.jpg,,bus,,"0,058","0,706","0,3393393393","0,7987987988",,,,,
2007_000648.jpg,,aeroplane,,"0,656","0,948","0,2582582583","0,5765765766",,,,,
2007_000648.jpg,,car,,"0,004","0,056","0,6396396396","0,7057057057",,,,,
2007_000661.jpg,,sofa,,"0,238","0,662","0,472","0,7413333333",,,,,
2007_000661.jpg,,pottedplant,,"0,13","0,34","0,24","0,5253333333",,,,,
2007_000661.jpg,,chair,,"0,266","0,358","0,424","0,5253333333",,,,,
2007_000663.jpg,,bus,,"0,028436019","0,9881516588","0,004","0,934",,,,,
2007_000663.jpg,,car,,"0,0165876777","0,1492890995","0,078","0,188",,,,,
2007_000663.jpg,,car,,"0,8578199052",1,"0,048","0,106",,,,,
2007_000663.jpg,,car,,"0,8909952607",1,"0,072","0,162",,,,,
2007_000663.jpg,,car,,"0,8838862559",1,"0,136","0,216",,,,,
2007_000663.jpg,,car,,"0,8909952607",1,"0,196","0,42",,,,,
2007_000664.jpg,,person,,"0,102","0,65","0,0053333333",1,,,,,
2007_000676.jpg,,sheep,,"0,118","0,944","0,2506666667","0,72",,,,,
2007_000713.jpg,,boat,,"0,16","0,508","0,5","0,9285714286",,,,,
2007_000713.jpg,,boat,,"0,368","0,944","0,4761904762","0,8005952381",,,,,
2007_000720.jpg,,dog,,"0,434","0,61","0,3543543544","0,7897897898",,,,,
2007_000727.jpg,,bus,,"0,2373333333","0,728","0,646","0,872",,,,,
2007_000727.jpg,,car,,"0,7253333333","0,8613333333","0,738","0,776",,,,,
2007_000727.jpg,,car,,"0,0053333333","0,2373333333","0,76","0,87",,,,,
2007_000727.jpg,,person,,"0,888","0,9546666667","0,712","0,876",,,,,
2007_000727.jpg,,person,,"0,8506666667","0,9093333333","0,714","0,848",,,,,
2007_000727.jpg,,person,,"0,944",1,"0,726","0,828",,,,,
2007_000727.jpg,,car,,"0,1306666667","0,24","0,734","0,778",,,,,
2007_000727.jpg,,car,,"0,3013333333","0,4266666667","0,276","0,328",,,,,
2007_000733.jpg,,person,,"0,1066666667","0,6066666667","0,0574712644","0,8804597701",,,,,
2007_000733.jpg,,motorbike,,"0,2288888889","0,9955555556","0,4620689655",1,,,,,
2007_000738.jpg,,aeroplane,,"0,002","0,992","0,3734939759","0,7078313253",,,,,
2007_000762.jpg,,diningtable,,"0,002",1,"0,504",1,,,,,
2007_000762.jpg,,bottle,,"0,058","0,236","0,4053333333",1,,,,,
2007_000762.jpg,,person,,"0,764",1,"0,1626666667","0,696",,,,,
2007_000762.jpg,,person,,"0,684","0,786","0,3786666667","0,5386666667",,,,,
2007_000762.jpg,,person,,"0,286","0,532","0,3386666667","0,5946666667",,,,,
2007_000762.jpg,,person,,"0,398","0,44","0,3733333333","0,4986666667",,,,,
2007_000762.jpg,,person,,"0,008","0,248","0,0586666667","0,672",,,,,
2007_000762.jpg,,person,,"0,006","0,348","0,664","0,8746666667",,,,,
